session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current education level,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
6075688a61c67bb3edd0e7c4,5e5ff826f53d41066be54c2e,APPROVED,46:52.4,59:46.4,773.961,19,118,3,97,30:01.5,2CF81554,Portugal,Portugal,Undergraduate degree (BA/BSc/other),Other,Portuguese,"English, Portuguese",Portugal,Female,Yes,Yes
6075688c5a3fe456b1ddc50e,5ebbf07bf4722202325ceec1,APPROVED,46:52.2,59:18.3,746.145,25,136,0,100,30:02.8,2CF81554,Italy,Italy,DATA EXPIRED,DATA EXPIRED,Italian,"English, Italian",Italy,Male,DATA EXPIRED,Yes
6075688d3b2eb50dc49a09a6,602c11c29029ff46f065703d,APPROVED,47:14.4,01:54.5,880.102,21,56,1,100,30:04.3,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Other,Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
6075688d79a34c6ed7c6d594,6047a0b8e8f97403daf6f0c6,APPROVED,46:53.2,00:44.2,831.019,19,39,2,97,30:05.7,2CF81554,Israel,Netherlands,Undergraduate degree (BA/BSc/other),Part-Time,Hebrew,"French, English",France,Male,Yes,Yes
607568939f41b02a495222d0,5f569ff3600aba0f8ed13275,APPROVED,47:01.3,51:11.6,250.243,19,92,1,100,30:06.9,NOCODE,Portugal,Portugal,Undergraduate degree (BA/BSc/other),Other,Portuguese,"Portuguese, English",Portugal,Male,Yes,Yes
60756897c54c682f7d4e9930,5db9870052e7df000a11af99,APPROVED,47:24.2,00:27.5,783.38,21,118,1,100,30:08.3,2CF81554,United Kingdom,Netherlands,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,English,Netherlands,Male,DATA EXPIRED,Yes
60756899b0a159139f05f8ab,5ef4e37f7c0ee210679c7aad,APPROVED,47:05.7,59:45.1,759.353,22,91,2,98,30:10.0,2CF81554,South Africa,South Africa,DATA EXPIRED,Full-Time,DATA EXPIRED,English,South Africa,Female,No,Yes
6075689b82e1b48aca8b94b4,5ff5c0c156bc4305cb3fabef,APPROVED,47:07.1,01:10.0,842.865,22,104,1,100,30:11.3,2CF81554,Netherlands,Netherlands,Graduate degree (MA/MSc/MPhil/other),Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes,Yes
6075689df23fe26ff7b5d1ec,602b158acd385424c2589683,APPROVED,47:09.6,00:55.4,825.758,19,62,0,100,30:12.8,2CF81554,Lithuania,United Kingdom,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),Lithuanian,"English, Lithuanian, Russian",Lithuania,Female,Yes,Yes
607568a9431d3a0179df02c4,5e569011c0486f03a51801b5,APPROVED,47:21.2,00:41.0,799.73,20,155,0,100,30:14.1,2CF81554,Poland,Poland,Undergraduate degree (BA/BSc/other),Other,Polish,"English, Polish",Poland,Male,Yes,Yes
